Source,Target,Weight
青木香,荆芥,5.0
青木香,竹叶,2.0
青木香,海螵蛸,3.0
青木香,赭石,2.0
青木香,菊花,3.0
青木香,葱白,1.0
青木香,前胡,2.0
青木香,红花,7.0
青木香,蒲黄,1.0
青木香,桃,5.0
青木香,桑,5.0
青木香,苏合香,5.0
青木香,川芎,14.0
青木香,地榆,2.0
青木香,白术,19.0
青木香,小茴香,1.0
青木香,姜黄,2.0
青木香,骨碎补,1.0
青木香,高良姜,1.0
青木香,蒺藜,2.0
青木香,桑寄生,2.0
青木香,牡蛎,3.0
青木香,知母,2.0
青木香,雄黄,8.0
青木香,五加皮,1.0
青木香,生姜,6.0
青木香,延胡索,1.0
青木香,梨,3.0
青木香,玄参,10.0
青木香,瓜蒌皮,1.0
青木香,竹沥,3.0
青木香,麦芽,3.0
青木香,防风,16.0
青木香,莪术,8.0
青木香,肉桂,5.0
青木香,橘核,2.0
青木香,寒水石,10.0
青木香,益智,2.0
青木香,白附子,1.0
青木香,菟丝子,2.0
青木香,狗脊,1.0
青木香,白鲜皮,2.0
青木香,郁金,1.0
青木香,白矾,2.0
青木香,甘草,51.0
青木香,白芥子,2.0
青木香,神曲,7.0
青木香,芙蓉叶,1.0
青木香,川楝子,4.0
青木香,杏仁,11.0
青木香,龟甲,1.0
青木香,耳草,2.0
青木香,零陵香,5.0
青木香,陈皮,16.0
青木香,黄连,5.0
青木香,乳香,6.0
青木香,青皮,18.0
青木香,黄柏,2.0
青木香,细辛,11.0
青木香,藁本,2.0
青木香,干姜,11.0
青木香,茵陈,4.0
青木香,豆蔻,9.0
青木香,泽漆,1.0
青木香,荜澄茄,2.0
青木香,赤芍,5.0
青木香,珍珠母,1.0
青木香,珍珠,2.0
青木香,天南星,3.0
青木香,商陆,3.0
青木香,松香,3.0
青木香,青黛,5.0
青木香,儿茶,1.0
青木香,赤石脂,4.0
青木香,五灵脂,2.0
青木香,肉豆蔻,1.0
青木香,益智仁,1.0
青木香,山茱萸,3.0
青木香,沙参,2.0
青木香,枳实,6.0
青木香,当归,36.0
青木香,大黄,30.0
青木香,葶苈子,1.0
青木香,阿胶,2.0
青木香,芍药,14.0
青木香,牛膝,4.0
青木香,车前子,2.0
青木香,巴戟天,2.0
青木香,木瓜,4.0
青木香,天麻,4.0
青木香,血竭,1.0
青木香,熟地黄,1.0
青木香,桔梗,9.0
青木香,萝卜,5.0
青木香,没药,1.0
青木香,射干,6.0
青木香,北沙参,2.0
青木香,山楂,6.0
青木香,玄明粉,2.0
青木香,鳖甲,2.0
青木香,石菖蒲,2.0
青木香,西瓜,1.0
青木香,荜茇,1.0
青木香,瓜蒌,2.0
青木香,滑石,9.0
青木香,大枣,1.0
青木香,扁豆衣,1.0
青木香,栀子,9.0
青木香,藿香,14.0
青木香,远志,5.0
青木香,代赭石,1.0
青木香,土木香,1.0
青木香,葫芦,1.0
青木香,夏枯草,1.0
青木香,槟榔,23.0
青木香,威灵仙,1.0
青木香,连翘,10.0
青木香,水牛角,1.0
青木香,乌梅,3.0
青木香,丁香,19.0
青木香,白芍,7.0
青木香,白芥,2.0
青木香,白芷,12.0
青木香,牛蒡子,1.0
青木香,八角茴香,1.0
青木香,斑蝥,1.0
青木香,紫菀,2.0
青木香,三棱,9.0
青木香,牡丹皮,2.0
青木香,川乌,2.0
青木香,石斛,3.0
青木香,柏子仁,3.0
青木香,马兜铃,1.0
青木香,蚕砂,1.0
青木香,泽兰,1.0
青木香,芜荑,2.0
青木香,牵牛子,1.0
青木香,草乌,3.0
青木香,琥珀,4.0
青木香,金银花,1.0
青木香,胡椒,1.0
青木香,人参,16.0
青木香,僵蚕,3.0
青木香,天仙藤,2.0
青木香,升麻,20.0
青木香,龙胆,2.0
青木香,乌头,3.0
青木香,赤小豆,2.0
青木香,续断,1.0
青木香,黄芪,2.0
青木香,黄芩,17.0
青木香,穿山甲,4.0
青木香,花椒,1.0
青木香,丹参,5.0
青木香,酸枣仁,1.0
青木香,巴豆,8.0
青木香,白及,1.0
青木香,猪苓,3.0
青木香,辛夷,1.0
青木香,苍耳子,1.0
青木香,茴香,6.0
青木香,降香,1.0
青木香,蛇床子,2.0
青木香,皂荚,1.0
青木香,安息香,2.0
青木香,白豆蔻,1.0
青木香,薤白,2.0
青木香,羚羊角,7.0
青木香,秦艽,3.0
青木香,芥子,3.0
青木香,草果,2.0
青木香,甘松,5.0
青木香,芦荟,1.0
青木香,地骨皮,2.0
青木香,芫花,1.0
青木香,漏芦,2.0
青木香,肉苁蓉,2.0
青木香,苦参,2.0
青木香,茯苓,25.0
青木香,附子,22.0
青木香,党参,3.0
青木香,天冬,1.0
青木香,牛蒡,4.0
青木香,大戟,1.0
青木香,藜,2.0
青木香,防己,3.0
青木香,木通,8.0
青木香,虎骨,2.0
青木香,苍术,6.0
青木香,金礞石,1.0
青木香,甘遂,2.0
青木香,苏木,1.0
青木香,雷丸,1.0
青木香,龙骨,3.0
青木香,沉香,21.0
青木香,钩藤,2.0
青木香,白蔹,5.0
青木香,佛手,1.0
青木香,薄荷,6.0
青木香,桑白皮,3.0
青木香,通草,1.0
青木香,五加,1.0
青木香,牵牛,9.0
青木香,麝香,18.0
青木香,冰片,6.0
青木香,青葙子,1.0
青木香,桂皮,1.0
青木香,白薇,4.0
青木香,乌药,7.0
青木香,蒲公英,7.0
青木香,厚朴,9.0
青木香,桃仁,5.0
青木香,大腹皮,4.0
青木香,炮姜,1.0
青木香,砂仁,7.0
青木香,朱砂,10.0
青木香,硼砂,2.0
青木香,半夏,14.0
青木香,檀香,6.0
青木香,苍耳,4.0
青木香,吴茱萸,10.0
青木香,羌活,11.0
青木香,葛根,1.0
青木香,水红花子,3.0
青木香,草豆蔻,1.0
青木香,覆盆子,2.0
青木香,橘红,2.0
青木香,广藿香,3.0
