Source,Target,Weight
身热肢寒,口渴,1.0
身热肢寒,自汗,1.0
腹中痞块,恶心,1.0
近视,目昏,1.0
近视,远视,11.0
顿咳,面色青,1.0
耳痛,健忘,1.0
耳痛,臁疮,1.0
耳痛,目昏,1.0
耳痛,瘰疬,1.0
耳痛,壮热,1.0
耳痛,耳聋,2.0
耳痛,白带,1.0
耳痛,咳嗽,1.0
耳痛,慢惊,1.0
气喘,咽喉白腐,2.0
气喘,健忘,2.0
气喘,骨痛,2.0
气喘,角弓反张,2.0
气喘,干呕,2.0
气喘,小便不利,18.0
气喘,便血,1.0
气喘,畏寒,3.0
气喘,盗汗,7.0
气喘,神昏,9.0
气喘,嗳气,2.0
气喘,鼻塞,16.0
气喘,身重,3.0
气喘,腹满,5.0
气喘,丹毒,4.0
气喘,大便秘结,1.0
气喘,舌苔白,1.0
气喘,漏下,2.0
气喘,胎毒,1.0
气喘,目昏,5.0
气喘,小儿啼哭,1.0
气喘,发狂,3.0
气喘,浮肿,47.0
气喘,胁痛,2.0
气喘,舌疮,1.0
气喘,心下痞,3.0
气喘,急惊,8.0
气喘,小儿发热,1.0
气喘,咽干,6.0
气喘,瘰疬,3.0
气喘,赤白带,3.0
气喘,心烦,8.0
气喘,消瘦,2.0
气喘,肠鸣,2.0
气喘,脱肛,1.0
气喘,头汗,1.0
气喘,壮热,12.0
气喘,短气,8.0
气喘,咳血,2.0
气喘,痫,9.0
气喘,舌干,3.0
气喘,恶心,16.0
气喘,恶寒,6.0
气喘,少气,1.0
气喘,崩中,2.0
气喘,小便不通,2.0
气喘,吐血,13.0
气喘,谵语,2.0
气喘,麻疹,7.0
气喘,呕吐,27.0
气喘,烦躁,22.0
气喘,口臭,1.0
气喘,心下悸,1.0
气喘,背冷,2.0
气喘,耳聋,1.0
气喘,四肢疼痛,1.0
气喘,无名肿毒,1.0
气喘,无汗,4.0
气喘,腰痛,1.0
气喘,小儿呕吐,2.0
气喘,疳积,4.0
气喘,反胃,1.0
气喘,背痛,1.0
气喘,腹泻,1.0
气喘,口渴,8.0
气喘,舌强,1.0
气喘,积滞,2.0
气喘,疲乏,3.0
气喘,口噤,1.0
气喘,鼻翼煽动,1.0
气喘,恶风,6.0
气喘,头痛,19.0
气喘,食欲不振,1.0
气喘,潮热,10.0
气喘,白带,5.0
气喘,大便溏,1.0
气喘,头昏,4.0
气喘,腹冷,1.0
气喘,面色白,1.0
气喘,口苦,1.0
气喘,弄舌,1.0
气喘,腹痛,8.0
气喘,咳痰,5.0
气喘,咳嗽,175.0
气喘,慢惊,6.0
气喘,咽喉痛,1.0
气喘,咽肿,1.0
气喘,头晕,2.0
气喘,难产,3.0
气喘,自汗,13.0
气喘,半身不遂,1.0
气喘,啮齿,1.0
气喘,胸闷,13.0
气喘,寒热往来,8.0
咽喉白腐,气喘,2.0
滑胎,胎漏,2.0
滑胎,腰痛,1.0
滑胎,潮热,1.0
滑胎,难产,1.0
滑胎,胎动不安,1.0
胎漏,滑胎,2.0
胎漏,面色青,1.0
胎漏,便血,2.0
胎漏,盗汗,1.0
胎漏,产后血崩,1.0
胎漏,漏下,15.0
胎漏,目昏,1.0
胎漏,浮肿,1.0
胎漏,心悸,1.0
胎漏,咽干,1.0
胎漏,经间期出血,1.0
胎漏,瘰疬,1.0
胎漏,赤白带,2.0
胎漏,心烦,4.0
胎漏,脱肛,1.0
胎漏,月经过多,1.0
胎漏,恶心,1.0
胎漏,少气,1.0
胎漏,小便不通,1.0
胎漏,吐血,3.0
胎漏,呕吐,3.0
胎漏,烦躁,1.0
胎漏,耳聋,1.0
胎漏,无名肿毒,1.0
胎漏,腰痛,1.0
胎漏,反胃,2.0
胎漏,疲乏,1.0
胎漏,遗尿,1.0
胎漏,不孕,1.0
胎漏,崩漏,3.0
胎漏,头痛,2.0
胎漏,潮热,1.0
胎漏,胞衣不下,1.0
胎漏,白带,3.0
胎漏,头昏,2.0
胎漏,腹冷,1.0
胎漏,腹痛,9.0
胎漏,咳嗽,3.0
胎漏,慢惊,1.0
胎漏,头晕,3.0
胎漏,难产,1.0
胎漏,自汗,2.0
胎漏,尿血,1.0
胎漏,寒热往来,1.0
胎漏,胎动不安,3.0
健忘,耳痛,1.0
健忘,气喘,2.0
健忘,呃逆,2.0
健忘,面色青,2.0
健忘,畏寒,1.0
健忘,盗汗,19.0
健忘,须发早白,4.0
健忘,神昏,12.0
健忘,鼻塞,1.0
健忘,脱发,3.0
健忘,目昏,4.0
健忘,发狂,3.0
